AFG;0;0;1;11610000;3.83;1.208;58.3;5;50;1;200000000
SAH;0;0;1;74000;1;0.9;0.1;0;60;0;100000
RSA;0;0;1;19109000;2.051;0.925;107.4;30;180;26;7500000000
ALB;0;0.65;1;2172000;1.178;0.736;18.2;20;60;1;1300000000
ALG;0;0;1;12323000;2.428;0.433;236.8;29;264;45;3900000000
AND;0;0;1;20000;0.72;0.798;26.3;2;2;28;1600000000
ANG;0;0;1;5646000;4.073;0.78;16.6;5;236;1;1400000000
ASA;0;0;1;4981000;1.78;0.345;103.2;137;220;39;14800000000
ARG;0;0;1;23949000;1.702;0.728;3.3;36;200;26;25500000000
AUS;0;0;1;11647000;1.26;0.676;3.3;50;190;41;39800000000
PAL;0;0;1;1368000;2.94;0.288;839.3;38;130;11;900000000
AUT;0;0;1;7047000;0.97;0.986;122.2;85;120;8;11500000000
BAH;0;0;1;109000;1.397;0.283;39.9;8;28;8;200000000
BAN;0;0;1;56681000;1.818;0.55;1278.1;110;80;2;4200000000
BEL;0;0;1;9153000;1.03;0.957;379.7;160;90;10;20200000000
BEI;0;0;1;92000;2.079;0.389;16.8;2;14;1;100000000
BEN;0;0;1;2677000;3.622;0.782;101.9;68;98;20;200000000
BHO;0;0;1;1057000;1.726;0.605;21.4;35;162;35;70000000
BIR;0;0;1;23928000;1.755;0.714;82.4;20;167;17;1300000000
BOL;0;0;1;3739000;2.175;0.433;10.4;50;137;27;1100000000
BOT;0;0;1;523000;2.482;0.898;4.1;55;178;24;100000000
BRA;0;0;1;85697000;1.392;0.69;25.2;99;188;46;22100000000
BRU;0;0;1;84000;1.49;0.385;82.4;39;91;50;180000000
BUL;0;0.72;1;8707000;0.89;1.431;64.8;98;190;2;9500000000
BUR;0;0;1;4122000;3.793;0.75;72.2;23;81;34;200000000
BUD;0;0;1;3689000;3.901;0.585;436.8;53;100;43;200000000
CAM;0;0;1;6695000;2.246;0.57;92;37;152;40;300000000
CAO;0;0;1;6305000;3.539;0.754;52.2;18;123;2;1400000000
